tank,horizon,horizon_label,n_observations,mean_actual_kl_h,chronos2_mae,npts_mae,seasonal_naive_mae,chronos2_rmse,npts_rmse,seasonal_naive_rmse,chronos2_mase,npts_mase,seasonal_naive_mase,chronos2_rmsse,npts_rmsse,seasonal_naive_rmsse,chronos2_vs_npts_pct,chronos2_vs_npts_pct_mae,chronos2_vs_naive_pct,winner,beats_seasonal_naive_reference,sensor_trust_tier,missing_pct,zero_pct,rel_resid,panel_mean_kl_h
NBX,12,12h,286,0.786923076923077,0.34360215715595055,0.34206293706293706,0.46132867132867134,0.6227665888060968,0.6380978617100054,0.8272390679389335,0.8111014767634548,0.8078207639003498,1.0892393723493818,0.6098880839121787,0.6252416242230718,0.80945644115098,-0.40611890777167964,-0.4499815461533877,25.535057090895556,NPTS,True,healthy,0.38,8.62,0.0824,0.6566
NEW_BLOCK,12,12h,286,0.1729020979020979,0.034814907251954914,0.03573426573426573,0.05153846153846154,0.06473048969556741,0.06621114773145141,0.0962877389459773,0.5040183555057962,0.5171842291189633,0.746207120966402,0.48686081852934004,0.49786516548255155,0.724119415700394,2.5456835053914015,2.5727644416917226,32.455970823080676,Chronos-2,True,healthy,0.47,13.98,0.0739,0.1241
NEW_BLOCK_RO,12,12h,286,0.00045454545454545455,0.0005455130867340921,0.00045454545454545455,0.0007342657342657344,0.002105771147755279,0.0021320071635561044,0.0027097338139856733,0.27184618530490473,0.22656997653116698,0.36640337826101455,0.06366142797833517,0.06445358587735153,0.08199180322897169,-19.983322356706672,-20.01287908150026,25.806856204461674,NPTS,True,dead,0.35,96.34,1.6337,0.0012
TECH_PARK,12,12h,286,0.3816083916083916,0.16065243630350884,0.2240909090909091,0.31702797202797206,0.2876040043408477,0.3578163180774704,0.516147983875498,0.46883532201938016,0.6540538434445007,0.9253400111132127,0.2892151053494412,0.35955362158951204,0.5182952655299689,28.31854338622767,28.309257633322627,49.33372421069778,Chronos-2,True,healthy,0.76,11.22,0.0889,0.44
BE_BLOCK_OHT,24,1d,564,1.9401241134751774,0.7158426820851387,0.7413829787234042,1.0221631205673758,1.2171938513163387,1.2524418702270665,1.6913280064883673,0.7550025248717124,0.7819167968415656,1.0780492012710174,0.7621048409159092,0.7840740571116747,1.058592559345055,3.4420889893361175,3.4449531984459156,29.965856476535006,Chronos-2,True,healthy,9.9,3.12,0.097,1.6739
BE_BLOCK_RO,24,1d,564,0.01148936170212766,0.007343089366199595,0.010372340425531914,0.011631205673758867,0.013366117390732095,0.01919016444295144,0.02145422307946066,0.555899752131092,0.7853527000870624,0.8799110961510015,0.21401871529560712,0.30747732883750295,0.3428852817892535,29.216547919238547,29.20508713612698,36.82319105159983,Chronos-2,True,dead,10.44,73.53,0.2841,0.0083
CRICKET_GROUND_OHT,24,1d,564,0.008421985815602837,0.00876041615864011,0.008634751773049646,0.01620567375886525,0.03446096097867915,0.03469982729329351,0.05025114232497147,0.15529602759769767,0.15302766184608255,0.28675606168817447,0.26836333025114034,0.270232673733049,0.39105599579338285,-1.4823239957078356,-1.455332925524052,45.843855337024976,NPTS,True,degraded,20.7,39.98,0.1437,0.0423
F_BLOCK,24,1d,564,0.709822695035461,0.36848560937541597,0.43445035460992903,0.6092021276595744,0.8317583275358287,0.849839680333593,1.2135016883044416,0.6320943415842472,0.7452653695707373,1.0450932196563798,0.690558628992405,0.7053164615838784,1.0068450455775306,15.185332984367045,15.183494393447894,39.517898528508695,Chronos-2,True,healthy,0.2,5.87,0.0883,0.6979
GJBC_BLOCK_1_A1_BOYS,24,1d,564,0.15852836879432625,0.07782898326767675,0.08143617021276597,0.10400709219858155,0.11518601545225222,0.12031798884504474,0.15431500434946654,0.5856847692232673,0.6128874040561653,0.782781158331702,0.5369453064123301,0.5608940004427764,0.7194421062090195,4.438439206429688,4.4294653538652815,25.17898993998467,Chronos-2,True,degraded,1.91,14.61,0.112,0.1723
GJBC_BLOCK_1_A2_GIRLS,24,1d,564,0.1647340425531915,0.0732540366576707,0.07804964539007092,0.1023936170212766,0.11793285999803942,0.12259603270107297,0.16103114099078578,0.5380126759360251,0.5733309518363964,0.7521239301422273,0.5512679182852966,0.5730449012680344,0.752497944263336,6.160189989262882,6.144305599894871,28.467549778094895,Chronos-2,True,healthy,0.78,14.31,0.0781,0.1758
GJBC_BLOCK_1_A3,24,1d,564,0.1895390070921986,0.09871806556134359,0.105,0.13134751773049644,0.14723454489371218,0.15386624936949447,0.1957908132502429,0.585595378820858,0.6229448850944228,0.7792538623599267,0.5363536975650908,0.5605341772601569,0.7133205719877489,5.995635756428688,5.982794703482291,24.851783596244847,Chronos-2,True,healthy,0.62,14.45,0.0657,0.2201
GJBC_BLOCK_1_A4_RO,24,1d,564,0.0040070921985815595,0.004039280416971528,0.0040070921985815595,0.005602836879432625,0.019067060745055674,0.019102188801843535,0.026194850882682214,0.06773673772909286,0.06719333310993704,0.09398185266630019,0.09611754639811591,0.09629619033294438,0.1320984398091619,-0.8087180587793442,-0.8032812022983233,27.925726289303345,NPTS,True,degraded,0.38,51.5,0.1179,0.0611
GJBC_BLOCK_2_A1,24,1d,564,0.4049468085106383,0.11780056795541277,0.15590425531914895,0.20960992907801418,0.2125667845941332,0.28240827293851267,0.3672632155601022,0.5653909073670723,0.7483397736086187,1.0060889454825601,0.6011040825011528,0.7987845757805968,1.038643033534607,24.447299568127534,24.440440888373935,43.80308918950616,Chronos-2,True,healthy,0.53,10.08,0.0883,0.3573
GJBC_LAW_BLOCK_3_A4_BOYS,24,1d,564,1.280709219858156,0.5939409305736528,0.632145390070922,0.9025886524822695,0.9754142140469311,1.0610035561200022,1.4488611326004586,0.7172389504255989,0.7634644802054668,1.0900377063634095,0.6089587136359469,0.6623980372933072,0.9044742422805715,6.054706011657204,6.043619094174346,34.20053762924808,Chronos-2,True,healthy,0.45,5.42,0.0677,1.2215
