item_id,horizon,winner,beats_seasonal_naive,mean_actual_kl_h,mae_chronos2,mae_npts,rmse_chronos2,rmse_npts,mase_chronos2,mase_npts,rmsse_chronos2,rmsse_npts,pct_impr_mae,pct_impr_rmse,pct_impr_mase,pct_impr_rmsse
F_BLOCK,6,Chronos-2,True,0.6871126760563381,0.27616014749231477,0.37514084507042267,0.5955831830678917,0.6879234931257735,0.47357544266409807,0.6434498037303484,0.49326134914813835,0.569901116911538,26.384942849805363,13.423049362409134,26.40056148613574,13.44790622252736
TECH_PARK,6,Chronos-2,True,0.3949295774647887,0.14748612266611044,0.22323943661971832,0.24145207775051844,0.34221935145026827,0.43041289559574614,0.6515133211341281,0.24221398057079682,0.34315439493241645,33.933661140101954,29.445229579424723,33.93643972674254,29.415451427192018
GJBC_LAW_BLOCK_3__A2,6,Chronos-2,True,0.3630985915492958,0.18305621465327035,0.306056338028169,0.39977516704084887,0.643230184632636,0.42944058626685794,0.7184556407956916,0.21892388180672342,0.3522256177814536,40.18871955645562,37.84881732980707,40.22726499979159,37.845553885135146
BE_BLOCK_RO,6,Chronos-2,True,0.009788732394366197,0.005576202258939894,0.009577464788732394,0.009721014749218273,0.01748238550132394,0.4225475212478323,0.7260496900809825,0.15631968633482737,0.2811281526500478,41.777888178715806,44.395375857132876,41.80184538048602,44.39557729765461
GJBC_BLOCK_1_A2_GIRLS,6,Chronos-2,True,0.15971830985915494,0.052616798248089534,0.05816901408450705,0.0764013142755538,0.08299838790221288,0.38645901662487325,0.4271799075202575,0.3569501698356006,0.38760822517828497,9.544971534761348,7.9484358592984075,9.532492090221536,7.90954715385177
CRICKET_GROUND_OHT,6,NPTS,True,0.013380281690140848,0.013651792134460012,0.013521126760563383,0.05309879825154585,0.053365600567628416,0.24179815390021406,0.23945436718235757,0.4133745114340275,0.41546690644534057,-0.9663793277771535,0.4999518664546028,-0.9788030786139563,0.5036249527586296
NEW_BLOCK_RO,6,NPTS,True,0.00028169014084507044,0.00039114543697534417,0.00028169014084507044,0.0016560473600642246,0.0016783627165933783,0.1936241287605506,0.1391715236196239,0.04976240261834077,0.05043180212444069,-38.85663012624717,1.3295908154137106,-39.12625494404561,1.3273360814039004
ME_WORKSHOP_BLOCK,6,Chronos-2,True,0.03492957746478873,0.025955958472381174,0.02612676056338028,0.036973756579607296,0.04060285149217693,0.15673233380123397,0.15777551799792858,0.05005062905444345,0.05498288327125494,0.6537438523415888,8.938029668356828,0.6611825522311411,8.97052668642074
GJBC_BLOCK_1_A4_RO,6,NPTS,True,0.0060563380281690145,0.006102367951411715,0.0060563380281690145,0.036598941075444216,0.03661755139851019,0.1023310111751752,0.10155471772825893,0.18448683507212918,0.18458146074194892,-0.7600289651701719,0.0508235050001984,-0.7644090439928931,0.05126499131569457
INFORMATION_CENTRE,24,NPTS,False,0.017304964539007095,0.017632003845911185,0.017304964539007095,0.07084189205017298,0.07106834189608026,2.0555751635355137,2.018188827619866,1.1878550912270682,1.191712232277045,-1.889858289896586,0.3186367373512173,-1.8524696700327663,0.3236637961336386
GJBC_LAW_BLOCK_3__A1,24,Chronos-2,False,0.6260071301247772,0.37538781821621503,0.39531194295900174,1.422436529104647,1.4455633150030853,1.5211433039948927,1.6020140352259962,1.2916720995202655,1.3125437530051483,5.040101898680319,1.5998459326140928,5.048066337302407,1.590168208647965
IT_BLOCK,24,Chronos-2,False,0.09443262411347518,0.06232919397136421,0.06868794326241134,0.1250264103651018,0.1434516252760011,1.0668461585201816,1.176374086306695,0.7738625293690301,0.8879057374545952,9.257446050982406,12.844200876392433,9.310637582164324,12.844067030414582
I&H_BLOCK,24,NPTS,True,0.3141134751773049,0.3164233963910147,0.3139893617021276,1.481807351944971,1.4915935240992273,0.8387650965558855,0.8323627852709609,1.4109027077762226,1.4199477135344725,-0.7751965466894335,0.6560884045246925,-0.7691731776355757,0.6369956916044048
NBX,24,NPTS,True,0.8031729055258466,0.35515430495488237,0.3468449197860962,0.8863350982801632,0.9018495552589998,0.8385348534936095,0.8191143416018167,0.8717737955868997,0.8871846449672869,-2.3957061772479356,1.7202932449615747,-2.37091586674151,1.73705095864857
BE_BLOCK_OHT,24,Chronos-2,True,1.9401241134751774,0.7158426820851387,0.7413829787234042,1.2171938513163387,1.2524418702270665,0.7550025248717124,0.7819167968415656,0.7621048409159092,0.7840740571116747,3.4449531984459156,2.814343703180203,3.4420889893361175,2.8019312712238316
GJBC_LAW_BLOCK_3_A4_BOYS,24,Chronos-2,True,1.280709219858156,0.5939409305736528,0.632145390070922,0.9754142140469311,1.0610035561200022,0.7172389504255989,0.7634644802054668,0.6089587136359469,0.6623980372933072,6.043619094174346,8.06682895447249,6.054706011657204,8.067554649727555
G_BLOCK,24,NPTS,True,1.0315248226950353,0.34944220378043805,0.34569148936170213,0.7759753710451118,0.7686384988041984,0.6925873148437515,0.6851429933045278,0.6805208947697226,0.6741138602746174,-1.0849889378709856,-0.9545283318917358,-1.0865354549301938,-0.9504380302305443
F_BLOCK,24,Chronos-2,True,0.709822695035461,0.36848560937541597,0.43445035460992903,0.8317583275358287,0.849839680333593,0.6320943415842472,0.7452653695707373,0.690558628992405,0.7053164615838784,15.183494393447894,2.1276192693975835,15.185332984367045,2.092370360721872
MRD_BLOCK,24,Chronos-2,True,1.388758865248227,0.7403120932088675,0.8470035460992908,1.3053598267156672,1.4087642968117948,0.615047817567103,0.7037177903370551,0.4543317445316767,0.49045015335809733,12.5963407569862,7.340083101917371,12.600217585444637,7.364338369377396
GJBC_BLOCK_1_A1_BOYS,24,Chronos-2,True,0.15852836879432625,0.07782898326767675,0.08143617021276597,0.11518601545225222,0.12031798884504474,0.5856847692232673,0.6128874040561653,0.5369453064123301,0.5608940004427764,4.4294653538652815,4.265341734893766,4.438439206429688,4.269736173241454
GJBC_BLOCK_1_A3,24,Chronos-2,True,0.1895390070921986,0.09871806556134359,0.105,0.14723454489371218,0.15386624936949447,0.585595378820858,0.6229448850944228,0.5363536975650908,0.5605341772601569,5.982794703482291,4.3100449273036565,5.995635756428688,4.313827894180906
GJBC_LAW_BLOCK_3__A3_GIRLS,24,Chronos-2,True,0.3408333333333334,0.14454703821886516,0.17570921985815602,0.20249352188294792,0.25428456165853314,0.5668995606109973,0.6890797136004944,0.4473140398690544,0.5619257109178116,17.735086220544947,20.367355154314474,17.730917131647416,20.396231890076404
GJBC_BLOCK_2_A1,24,Chronos-2,True,0.4049468085106383,0.11780056795541277,0.15590425531914895,0.2125667845941332,0.28240827293851267,0.5653909073670723,0.7483397736086187,0.6011040825011528,0.7987845757805968,24.440440888373935,24.730680733133376,24.447299568127534,24.74766029204615
BE_BLOCK_RO,24,Chronos-2,True,0.01148936170212766,0.007343089366199595,0.010372340425531914,0.013366117390732095,0.01919016444295144,0.555899752131092,0.7853527000870624,0.21401871529560712,0.30747732883750295,29.20508713612698,30.34912530079189,29.216547919238547,30.395286018400167
