model,day,actual_kl,pred_raw_kl,pred_kl,lower_kl,upper_kl,n_scored,n_expected,coverage_pct,error_kl,abs_error_kl,error_raw_kl,inside_band,d_lo,d_hi,band_lo,band_hi,inside_daily_band
NPTS,2026-03-20,281.19,251.21,265.2808368106105,57.26001442417662,491.1398598899992,576,576,100.0,-15.909163189389517,15.909163189389517,-29.97999999999999,True,-44.972323550080475,42.486681134728755,220.30851326053,307.76751794533925,True
NPTS,2026-03-21,174.28,252.07,266.2758284693562,57.810738498087254,502.69185939456173,576,576,100.0,91.99582846935621,91.99582846935621,77.78999999999999,True,-44.972323550080475,42.486681134728755,221.30350491927572,308.762509604085,False
NPTS,2026-03-22,220.2,249.71,264.0829001254735,55.286254985533894,499.7899647911736,576,576,100.0,43.8829001254735,43.8829001254735,29.51000000000002,True,-44.972323550080475,42.486681134728755,219.110576575393,306.56958126020226,True
NPTS,2026-03-23,290.4,247.14000000000001,261.2078279195654,49.04151110606306,490.614903017709,576,576,100.0,-29.192172080434602,29.192172080434602,-43.25999999999996,True,-44.972323550080475,42.486681134728755,216.2355043694849,303.69450905429414,True
NPTS,2026-03-24,301.67,246.4,259.670293433345,56.780059987956825,509.8608880782867,576,576,100.0,-41.99970656665499,41.99970656665499,-55.27000000000001,True,-44.972323550080475,42.486681134728755,214.69796988326453,302.1569745680738,True
NPTS,2026-03-25,163.13,138.42,147.17367866713803,31.797117815967738,281.93269683028365,312,576,54.166666666666664,-15.956321332861961,15.956321332861961,-24.710000000000008,True,-44.972323550080475,42.486681134728755,102.20135511705756,189.66035980186678,True
NPTS,2026-03-26,335.5,248.52,262.3623214445688,58.51100527207235,496.9410090348854,576,576,100.0,-73.1376785554312,73.1376785554312,-86.97999999999999,True,-44.972323550080475,42.486681134728755,217.38999789448832,304.8490025792976,False
NPTS,2026-03-27,309.1,249.29,263.5583920502741,55.88804180828526,512.3225630011864,576,576,100.0,-45.541607949725915,45.541607949725915,-59.81000000000003,True,-44.972323550080475,42.486681134728755,218.58606850019362,306.0450731850029,False
NPTS,2026-03-28,283.06,251.25,265.7150506075776,59.40985453118054,496.81537251292093,576,576,100.0,-17.344949392422393,17.344949392422393,-31.810000000000002,True,-44.972323550080475,42.486681134728755,220.74272705749712,308.2017317423064,True
NPTS,2026-03-29,207.09,254.11,268.4570648011535,59.56515642260535,501.4848191408503,576,576,100.0,61.367064801153475,61.367064801153475,47.02000000000001,True,-44.972323550080475,42.486681134728755,223.484741251073,310.94374593588225,False
NPTS,2026-03-30,299.97,250.66,264.87284877173164,57.01971543279512,505.21263568767665,576,576,100.0,-35.09715122826839,35.09715122826839,-49.31000000000003,True,-44.972323550080475,42.486681134728755,219.90052522165115,307.3595299064604,True
NPTS,2026-03-31,324.68,252.5,266.13080996536405,61.27358433852937,506.69446631336456,576,576,100.0,-58.549190034635956,58.549190034635956,-72.18,True,-44.972323550080475,42.486681134728755,221.15848641528356,308.6174911000928,False
