model,family,horizon,horizon_label,n_tanks,rows,macro_mae,macro_rmse,macro_mase,macro_rmsse,vw_mae,vw_rmse,coverage,width,neg_p10_pct,volume_bias_pct,rank_mase
Chronos2-COV,foundation,12,12 h,24,6861,0.2017573189909907,0.41664793665838534,0.6292342010187465,0.5246484040350939,0.4027913451481843,0.7522153129116039,0.7335665354904533,0.604037758941138,0.0,-10.533581216961005,2
Chronos2-ZS,foundation,12,12 h,24,6861,0.20290535126803044,0.42069610181860506,0.6294158881434958,0.5271360980123537,0.4049919670560594,0.7606116990753092,0.7137443521352572,0.583258151619768,0.0,-9.41456190430922,3
Chronos2-COV-LEAN,foundation,12,12 h,24,6861,0.20161763341528113,0.41760405538871836,0.6303708318491422,0.5257354436002079,0.40138274283232533,0.7531702102405046,0.7058737793324589,0.5886264501007369,0.0,-10.584667904355468,4
NPTS,statistical,12,12 h,24,6861,0.22552924769576713,0.4518694063576434,0.6923200085048317,0.5687552682409073,0.4412163039235655,0.8046795638912713,0.8456493222562309,0.6774027109750765,0.0,-5.9829006470784725,5
PatchTST-Tuned,trained deep,12,12 h,24,6861,0.24523038707190314,0.4639381153896716,0.7609492942035896,0.5981493442422944,0.4785205654117678,0.8326788997904089,0.805421950153039,0.6889533265051274,57.455181460428506,-19.949963648646847,6
PatchTST,trained deep,12,12 h,24,6861,0.2685543895835633,0.4868136944993296,0.8244698187714089,0.6274016367965997,0.5237678042477921,0.8781978388416558,0.8239323713744352,0.8585978261738054,71.27240926978574,-22.747094026597352,7
Theta,statistical,12,12 h,24,6861,0.2686451084448282,0.45014760690327504,0.9451032386919539,0.5852296516415165,0.5056250708493202,0.8055889651381567,0.929893601515814,1.529003677374354,78.28304911820435,1.9430622336826053,8
DynamicOptimizedTheta,statistical,12,12 h,24,6861,0.26914430996798483,0.4507323364906954,0.945945236683461,0.5860289539948076,0.5065891563687192,0.8066204794169819,0.9307681096050139,1.5329946896203823,78.67657775834427,1.9692527300085154,9
ETS,statistical,12,12 h,24,6861,0.2610813982178584,0.4355895841395983,0.947972130690451,0.5697971357512096,0.4924122077186094,0.7813859576376974,0.9134236991692173,1.2372920745703673,71.41816061798572,4.566452501915035,10
SeasonalNaive,reference,12,12 h,24,6861,0.3041428984737289,0.5778667230853216,0.9665543676105562,0.739898243371349,0.5936227067332187,1.0363129035252376,0.9017635913132196,1.6810247245224996,80.06121556624399,-0.5465674875063667,11
Chronos2-COV-XL,foundation,24,1 d,24,13530,0.21043499538973734,0.46196939453960323,0.6550124166937342,0.5668097554659751,0.4244035318112416,0.8398207731283593,0.7572062084257206,0.6358840819305596,0.0,-13.8843548810411,1
Chronos2-ZS,foundation,24,1 d,24,13530,0.2115649801623051,0.4639510452621014,0.6552219084375984,0.566985865273001,0.4272729562101331,0.8423534986704653,0.7220990391722099,0.5991996847934664,0.0,-12.15414255927196,2
Chronos2-COV,foundation,24,1 d,24,13530,0.21051203797565962,0.4624273027355155,0.6557967354557676,0.5671145194327587,0.42489554401094193,0.840206019214844,0.7490761271249076,0.6276227169422384,0.0,-13.753972988084438,3
Chronos2-COV-LEAN,foundation,24,1 d,24,13530,0.2102493425142098,0.46308523226886966,0.6562459433163864,0.5676872100584411,0.4235065404225561,0.8408525916406603,0.7178861788617886,0.6152706206436377,0.0,-13.55292436152486,4
NPTS,statistical,24,1 d,24,13530,0.2302701293283271,0.49208245175423987,0.7097936683262254,0.6063940238364106,0.4590948660301039,0.8869006946672288,0.8422764227642277,0.6797413155949741,0.0,-9.866596984949037,5
