model,tank,trust,mean_actual,mae,ref_mae,skill
DynamicOptimizedTheta,CRICKET_GROUND_OHT,degraded,0.008421985815602837,0.012268884717645593,0.01620567375886525,0.24292658853915594
DynamicOptimizedTheta,F_BLOCK,healthy,0.7098226950354609,0.5397107485894376,0.6092021276595744,0.1140694950247596
DynamicOptimizedTheta,GJBC_BLOCK_1_A1_BOYS,degraded,0.15852836879432625,0.09327917340511198,0.10400709219858156,0.10314603135896427
DynamicOptimizedTheta,GJBC_BLOCK_1_A2_GIRLS,healthy,0.1647340425531915,0.08867037693573242,0.1023936170212766,0.13402437070557438
DynamicOptimizedTheta,GJBC_BLOCK_1_A3,healthy,0.1895390070921986,0.1063073096581369,0.13134751773049644,0.19064089299150622
DynamicOptimizedTheta,GJBC_BLOCK_1_A4_RO,degraded,0.00400709219858156,0.005129362758153271,0.005602836879432625,0.08450614063340356
DynamicOptimizedTheta,GJBC_BLOCK_2_A1,healthy,0.4049468085106383,0.20849698778439774,0.20960992907801418,0.005309582892908726
DynamicOptimizedTheta,GJBC_LAW_BLOCK_3_A4_BOYS,healthy,1.280709219858156,0.7190433759644657,0.9025886524822695,0.2033542921385325
DynamicOptimizedTheta,GJBC_LAW_BLOCK_3__A1,healthy,0.6260071301247772,0.5219941017038756,0.5237433155080213,0.0033398303183096445
DynamicOptimizedTheta,GJBC_LAW_BLOCK_3__A2,healthy,0.4324468085106383,0.24482780119484665,0.2426595744680851,-0.008935261390424776
DynamicOptimizedTheta,GJBC_LAW_BLOCK_3__A3_GIRLS,healthy,0.3408333333333333,0.17691607854208835,0.18388297872340426,0.037887683948145456
DynamicOptimizedTheta,G_BLOCK,healthy,1.0315248226950353,0.4667970243736794,0.5320390070921985,0.12262631470405161
DynamicOptimizedTheta,I&H_BLOCK,degraded,0.314113475177305,0.6044972237110366,0.5689007092198581,-0.06257069803972048
DynamicOptimizedTheta,INFORMATION_CENTRE,dead,0.01730496453900709,0.03741478379856273,0.03664893617021276,-0.020896858364266135
DynamicOptimizedTheta,IT_BLOCK,degraded,0.09443262411347518,0.08038171353056608,0.09551418439716311,0.15843166082718996
DynamicOptimizedTheta,ME_WORKSHOP_BLOCK,degraded,0.037429078014184394,0.04250499374614555,0.0376241134751773,-0.1297274492377989
DynamicOptimizedTheta,MM_BLOCK,healthy,1.1443617021276595,0.2618978198727635,0.32232269503546096,0.1874670201428097
DynamicOptimizedTheta,MRD_BLOCK,healthy,1.388758865248227,0.8457304813527387,1.0859397163120568,0.2211994195912541
DynamicOptimizedTheta,NBX,healthy,0.8031729055258466,0.4392347951154952,0.4968805704099822,0.11601535404558638
DynamicOptimizedTheta,NEW_BLOCK,healthy,0.1748936170212766,0.04361903052293686,0.05079787234042553,0.14132170279454137
DynamicOptimizedTheta,NEW_BLOCK_RO,dead,0.0003900709219858156,0.0006543444547567058,0.0006205673758865249,-0.05442934995080573
DynamicOptimizedTheta,TECH_PARK,healthy,0.40037234042553194,0.3094111454386841,0.3348581560283688,0.07599340237521013
