base,opponent,opponent_family,horizon,horizon_label,metric,n_origins,base_score,opponent_score,diff,improvement_pct,ci_lo_pct,ci_hi_pct,p_bootstrap,dm_stat,p_dm,significant_95,base_better,origins_won
Chronos2-ZS,Chronos2-COV-LEAN,foundation,48,2 d,MASE,24,0.6668431302730689,0.6668210374310188,2.2092842049944994e-05,-0.0033131591251318987,-0.5656341602038913,0.5412290762972022,0.9966,0.01030553463657118,0.9918663878551697,False,False,11
Chronos2-ZS,Chronos2-COV-LEAN,foundation,48,2 d,MAE,24,0.21628921618847488,0.21532132607223506,0.0009678901162398663,-0.44950963933556803,-1.1239526134353306,0.21597900027608316,0.1832,0.8584341860809868,0.3995107762409529,False,False,9
Chronos2-ZS,Chronos2-COV-LEAN,foundation,72,3 d,MASE,24,0.6670011520667843,0.6664089421527749,0.0005922099140093599,-0.08886584146009181,-0.5685731601171587,0.39803522321443136,0.7288,0.21984358274281132,0.827932500858334,False,False,11
Chronos2-ZS,Chronos2-COV-LEAN,foundation,72,3 d,MAE,24,0.2174327787558811,0.21617440325713985,0.0012583754987412685,-0.5821112397125151,-1.11169226299724,0.0009732951882835936,0.0506,1.2595171241025775,0.2204756337248297,False,False,5
Chronos2-ZS,Chronos2-COV-LEAN,foundation,168,7 d,MASE,24,0.6652976708299781,0.6640929705078864,0.00120470032209181,-0.18140537177655663,-0.5004402673900421,0.13928942926111063,0.2628,0.5000640846857759,0.6217808503304236,False,False,11
Chronos2-ZS,Chronos2-COV-LEAN,foundation,168,7 d,MAE,24,0.2197993179577634,0.21831234631551225,0.00148697164225108,-0.6811211859278261,-0.9561886305372673,-0.37694418601736324,0.0,2.18348657831711,0.039459270711785344,True,False,3
Chronos2-ZS,NPTS,statistical,6,6 h,MASE,24,0.596173475223719,0.6813092938065014,-0.08513581858278245,12.49591328882736,6.178214992926714,20.365218492221608,0.0,-3.3721727807007427,0.0026298684797660954,True,True,18
Chronos2-ZS,NPTS,statistical,6,6 h,MAE,24,0.1958597924489299,0.22873408564814812,-0.03287429319921826,14.372275608186959,6.2514594615435595,24.996100834478366,0.0,-2.9460823190446166,0.0072501838784693184,True,True,19
Chronos2-ZS,NPTS,statistical,12,12 h,MASE,24,0.627832870455817,0.6907974658761917,-0.0629645954203746,9.11476931093135,4.657735512483057,14.399591794805776,0.0,-3.5660408431020074,0.0016409355620952137,True,True,17
Chronos2-ZS,NPTS,statistical,12,12 h,MAE,24,0.20245644476148775,0.2250158179012346,-0.02255937313974678,10.025683238699552,3.833370524342648,17.848413290397076,0.0,-2.7069421223812267,0.012579140055785087,True,True,20
Chronos2-ZS,NPTS,statistical,24,1 d,MASE,24,0.6563016477223401,0.7109098367277497,-0.054608189005409535,7.681450752850155,4.390219754737635,11.273038909266779,0.0,-3.7082537947032317,0.0011575455826688952,True,True,19
Chronos2-ZS,NPTS,statistical,24,1 d,MAE,24,0.21110794348326048,0.2297475311147186,-0.018639587631458125,8.113074182351461,3.591524948534441,13.246175828471944,0.0,-3.1409692188275034,0.004579822044728177,True,True,20
Chronos2-ZS,NPTS,statistical,48,2 d,MASE,24,0.6668431302730689,0.7125859764544068,-0.04574284618133801,6.419273981357219,3.9158801629752626,8.935916532353575,0.0,-3.2700394565150344,0.0033640544623181334,True,True,21
