model,hour,mae,bias,mean_actual
NPTS,5,0.12494791666666666,0.05241319444444445,0.28914930555555557
NPTS,6,0.14604166666666668,0.025868055555555557,0.36744791666666665
NPTS,7,0.21223958333333334,0.004809027777777773,0.5377951388888889
NPTS,8,0.2963715277777778,-0.07845486111111111,0.7403645833333333
NPTS,9,0.3910590277777778,0.008524305555555556,0.7946527777777779
NPTS,10,0.42225694444444445,-0.012534722222222213,0.7628993055555555
NPTS,11,0.39977430555555554,0.037795138888888885,0.7039930555555556
NPTS,12,0.3527604166666667,0.023107638888888896,0.6284027777777778
NPTS,13,0.34803992740471873,1.8148820326679387e-05,0.6315970961887477
NPTS,14,0.38252268602540834,0.13098003629764066,0.6815426497277677
NPTS,15,0.4009255898366606,0.1406715063520871,0.6957894736842105
NPTS,16,0.35384057971014493,0.11902173913043479,0.6878079710144928
NPTS,17,0.30409420289855077,0.13590579710144926,0.6169927536231884
NPTS,18,0.14072463768115942,0.040942028985507244,0.41581521739130434
NPTS,19,0.16818840579710145,0.03873188405797101,0.38956521739130434
NPTS,20,0.1472595281306715,0.06068965517241379,0.34607985480943737
NPTS,21,0.1223956442831216,0.05096188747731397,0.3270235934664247
NPTS,22,0.14986717267552183,0.06907020872865274,0.34407969639468694
NPTS,23,0.12864130434782606,0.06168478260869565,0.3327355072463768
PatchTST,0,0.1531388599739748,-0.06186874658958926,0.3108680555555556
PatchTST,1,0.15235695334478874,-0.06900120590576808,0.28953125
PatchTST,2,0.15131267905299256,-0.06211913217653495,0.27875
PatchTST,3,0.14938064338317358,-0.07505537057138265,0.2494270833333333
PatchTST,4,0.1491633448866605,-0.06323366514400577,0.25277777777777777
PatchTST,5,0.155618185866904,-0.032841359149538174,0.28914930555555557
PatchTST,6,0.1742354729248842,0.027607138695978035,0.36744791666666665
PatchTST,7,0.29527641209188854,0.17337533279115871,0.5377951388888889
PatchTST,8,0.44835075051976264,0.351840361383722,0.7403645833333333
PatchTST,9,0.5174860562150596,0.39131195832658494,0.7946527777777779
PatchTST,10,0.4877885947300947,0.3547874034103591,0.7628993055555555
PatchTST,11,0.4597365783237071,0.2974677538667157,0.7039930555555556
PatchTST,12,0.39142256703424005,0.22257463057303165,0.6284027777777778
PatchTST,13,0.39405288620838586,0.21780719881674723,0.6315970961887477
PatchTST,14,0.4297878850287474,0.25631841442855113,0.6815426497277677
PatchTST,15,0.45084087184936716,0.2576695007495883,0.6957894736842105
